id,csmptv,rwtank,iceqac2,dwltyp,livara,nbbdrm,cfdiwq
5,74,no,NA,2 facades,58,1,suspicious
29,131,yes,modest,2 facades,100,2,neither confident nor suspicious
34,102.08,yes,average,4 facades,200,2,neither confident nor suspicious
36,71,no,precarious,appartment/studio,70,2,rather confident
37,40,no,NA,2 facades,58,1,rather confident
39,39.16,no,modest,2 facades,100,3 or more,confident
42,115,no,modest,2 facades,200,2,confident
44,NA,yes,higher,4 facades,150,3 or more,rather confident
45,NA,yes,precarious,4 facades,150,3 or more,confident
46,119.57,no,modest,3 facades,150,3 or more,rather confident
47,97,no,average,2 facades,90,3 or more,neither confident nor suspicious
48,82.6,yes,modest,4 facades,200,3 or more,rather suspicious
50,38,yes,modest,4 facades,130,3 or more,confident
51,NA,no,NA,appartment/studio,90,1,confident
53,162.56,no,modest,4 facades,160,3 or more,confident
54,15.27,yes,modest,4 facades,121,2,confident
55,71.57,no,precarious,appartment/studio,50,1,no opinion
56,42,no,modest,3 facades,102,2,confident
57,141.36,no,modest,2 facades,105,3 or more,confident
58,77,no,average,appartment/studio,90,2,rather suspicious
